estado,id_tienda,ciudad,codigo_postal,direccion,latitud,longitud,no_tienda,nombre
CHH,36,Chihuahua,,Plaza del Sol Mall,20.65,-103.4,32622-136956,Plaza del Sol - Chihuahua
CHH,37,Chihuahua,31270,BLVD Antonio Ortiz Mena #1800 Esq Con Av,28.64,-106.1,32756-138645,Blvd Ortiz Mena Chihuahua
CHH,38,Chihuahua,31000,"Av. Independencia # 401, 102 y 104 de la calle Victoria.",28.64,-106.08,49224-267549,Chihuahua Centro
CHH,39,Ciudad Juarez,32459,"Av. Francisco Villarreal Torres #11204, Colonia Partido Senecu",31.71,-106.38,28828-251444,3 Torres Cd. Juarez
CHH,40,Ciudad Juarez,32618,"Blbd Teofilo Borunda #8681, Esq Paseo de la Victoria",31.69,-106.41,32646-126547,Misiones
CHH,41,Ciudad Juarez,61010,4630 Avenue Paseo del Triunfo de la Repu,31.74,-106.44,32552-121206,Paseo Triunfo de la Republica
CHH,42,Ciudad Juarez,32121,"Carr. Panamericana Km 18.5 S/N, Aeropuerto Chihuahua",31.64,-106.44,49764-271068,Aeropuerto Cd. Juarez
CHH,43,Ciudad Juarez,32540,7331-A Manuel Gomez Morin Boulevard,31.72,-106.42,32278-121207,Ciudad Juarez Campestre
CHP,44,Tuxtla Gutierrez,20060,"Belisario Dominguez No. 2, 535 Local-01, Col. Santa Elena",16.75,-93.14,15264-159105,Tuxtla Belisario Dominguez
CHP,45,Tuxtla Gutierrez,29040,Blvd. Juan Pablo II S/N,16.75,-93.08,21304-210707,Tuxtla II DT
COA,46,Monclova,,Blvd. Harold Rio Pape,26.93,-101.42,28795-251213,Monclova
COA,47,Saltillo,25279,Boulevard Nazario Ortiz Garza No. 2345,25.46,-100.98,47816-259924,Galerias Saltillo
COA,48,Saltillo,23,Periferico Luis Echeverria #1416,25.44,-100.98,31894-111406,Saltillo La Quinta Inn
COA,49,Saltillo,25240,"Blvd. Venustiano Carranza, Municipio de Saltillo",25.45,-100.99,25504-236933,Plaza Carranza
COA,50,Torreon,,Independencia Boulevard,25.55,-103.44,32150-119576,Independencia Boulevard
